Image|Logo|Name|Citát|Music|Race|Focus|Origin|God|Age|Status|Title|Position|Description
Hekdor-Kovadlina-Kovalsky|Ochranca|Hekdor Kovalsky   Kovadlina|Netráp sa tým, stále to môžeš skúsiť znova.|Hekdor, Between Sky and Stone|Human (Demigod)|Paladin|Jazierchat|Dridras|32|Živý|Hed|Lovec študent - Skupina 740~2|Hekdor Kovadlina Kovalsky je poloboh, paladin a syn Kybáda, boha zeme a magmy. Rovnako ako legendárni hrdinovia starých čias, aj on je neustále skúšaný bohmi. Každá výzva má preveriť, či je hodný svojej krvi, svojho mena a sily, ktorú v sebe nesie. Hekdor sa však nesnaží byť dokonalý. Snaží sa nezlyhať vtedy, keď na ňom záleží najviac.<br><br>Hoci je jeho otcom Kybád, Hekdorova viera patrí najmä Dridrasovi, bohu kovobrábania a patrónovi kováčov. Jeho matka bola smrteľná kováčka, ktorá Dridrasa celý život uznávala, a práve cez ňu Hekdor pochopil, že sila nemá byť len lávou a úderom, ale aj remeslom, trpezlivosťou a poctivou prácou. Preto jeho paladinská viera nestojí len na božskej krvi, ale na kovárskej cti.<br><br>Prezývku Kovadlina získal preto, že v jeho rukách sa dá skutočne kovať. Dlane dokáže rozpáliť ako magmu jeho otca Kybáda a svaly má pevné ako hlavu kladiva. Nie je len bojovník, ktorý drží zbraň. Je sám nástrojom kovárne — kovadlina. Oheň aj úder v jednom tele.<br><br>Hekdor má aj nevlastného brata, Kratola Uroqula, ďalšieho známeho syna Kybáda. Cez Kratola je s jeho životom spätá aj Xenia Uroqal, Kratolova sestra z matkinej strany, ktorá je s Hekdorovom tíme. Spolu s ňou patria medzi jeho najdôležitejších ľudí Erik, Velimira a Anaria. Nie sú preňho iba spolubojovníci z jednej skupiny. Sú to tí, ktorí mu pomohli prežiť prvé skúšky poloboha, zosilnieť a stať sa mužom, hrdinom akým dnes je.<br><br>Preto keď niekto z nich potrebuje pomoc, Hekdor pri ňom stojí bez váhania. Je tvrdý ako kovadlina, ale srdcom zostáva človek. Jeho sila nie je len v božskom pôvode, ale v tom, že ju používa pre ľudí.
Xenia-Uroqal|Absorber|Xenia Uroqal   Strela|Lepšie ‚nejak‘ a rýchlo, ako výborne ale neskoro.|Leave It To Xenia |Human|Fighter|Pieskostan|None|29|Živá|Hed|Lovec študent - Skupina 740~2|Xenia Uroqal je hlučná, nebojácna a prudká lovkyňa, ktorá koná skôr, než ostatní stihnú premýšľať. Prichádza rýchlo, nahlas a bez ospravedlnenia, čo ju robí ľahko zapamätateľnou. <br><br> Je impulzívna a súťaživá, no nie bezhlavo neopatrná. Nebezpečenstvo pozná, len mu ide oproti. Práve tým často zaskočí protivníkov, ktorí očakávajú váhanie alebo plán. V boji je rýchla, dravá a nepredvídateľná. Nečaká na ideálny moment ona ich vytvára pre iných. Nie vždy elegantne, ale zvyčajne účinne. <br><br> Vyrástla v tieni polobohov: jej brat Kratol aj člen týmu Hekdor sú synovia boha Kybáda. Xenia sa však nedala zatlačiť do úzadia a snaží sa nimi držať krok. <br><br> Nie je najpokojnejšia ani najrozumnejšia, ale je iskra, ktorá rozhýbe veci. Keď príde Xenia, problémy prídu s ňou, a často jeden nový problém vyrieši dva staré.
Erik-Kolt|Popravca|Erik Kolt   Vojak|Všetko je o príprave.|The Green Coat of Erik Kolt|Human|Fighter|Jazierchat|Revion|35|Živý|Hed|Lovec študent - Skupina 740~2|Nie tak lovec ako vojak zo starej zbrojárskej línie Koltovcov, rodu spojeného s prvými veľkými pokrokmi v strelných zbraniach. Pre Erika nie je zbraň len nástroj. Je to dedičstvo, zodpovednosť a dôkaz disciplíny. Každý jeho výstrel má byť presný, čistý a premyslený. <br><br> Na rozdiel od svojho staršieho brata Damiana nebojuje inštinktom, ale výpočtom. Damian vystrelí, keď cíti správny okamih. Erik čaká, kým si ho vytvorí. Nikdy neplytvá nábojmi, nespolieha sa na šťastie a každú chybu si pamätá dlhšie, než by mal. <br><br> Hoci je schopný, disciplinovaný a čisto technicky aj lepší strelec ale stále je viac známy ako Damianov brat, než ako Erik. To, že brat sa stal nedávno vedúcim fakulty popravcov Erikovi vôbec nepomohlo vymaniť sa z bratovho tieňa. <br><br> Jeho typickou zbraňou je Kolt Eisenwolf, presná a dôkladne upravená pištoľ s väčším dostrelom a vnútorným zásobníkom. Nie je to hlučná ničivá zbraň ako Damianov Thunderstrike. Eisenwolf je nástroj pre strelca, ktorý sa nebeží nervózne po bojisku, ale pomaly kráča, nedýcha v panike ale pravidelne do rytmu a nestriaľa do vetra ale presne na cieľ. <br><br> Erik pôsobí chladne, prísne a bez humoru ale vždy dosiahne výsledok. 
Mishel-Regebe|Absorber|Mishel Regebe|None|None|Human|Warlock|Pieskostan|Harvien|30|Živá|Hed|Lovec študent - Skupina 740~3|Znepokojivo tichá lovkyňa, o ktorej sa hovorí, že jej otec nepochádzal z tohto sveta ale zo sveta démonov. Jej krv je však stále ľudská, hoci pod kožou jej pulzuje temná energia ako uvoľnená žila mágie. Nie je to sila, ktorá by pôsobila čisto či vznešene. Skôr je ako niečo, čo sa drží v tieni, kým sa nerozhodne prehovoriť. <br><br> Jej mágia sa zriedka prejaví priamo. Najskôr sa ťahá ako dym, tieň alebo čierna rana vo vzduchu, až potom z nej vznikne samotné kúzlo. Kým iní čarodejníci žiaria, horia alebo kreslia runy svetlom, Mishel pôsobí, akoby kúzla vyťahovala z miesta, kam by sa ľudia radšej nepozerali. <br><br> Veľa toho nenahovorí. A keď už prehovorí dlhšie, často skĺzne do jazyka, ktorý nikto v miestnosti nepozná. Niektorí si myslia, že ide o starý zabudnutý jazyk. Iní dúfajú, že to jazyk vôbec nie je. Mishel to zvyčajne nevysvetľuje. <br><br> Nie je hlučná, teatrálna ani otvorene hrozivá. Práve preto z nej ide nepokoj. Stojí bokom, sleduje, mlčí a necháva temnú energiu pod kožou pulzovať ako varovanie. Mishel Regebe je pripomienkou, že nie každá moc prichádza zo svetla a nie každá temnota musí kričať, aby ju bolo cítiť.
Arianna-Arconia|Popravca|Arianna Arconia|None|None|Human|Warlock|Tmavohmla|Vacan|29|Živá|Hed|Lovec študent - Skupina 740~3|V meste plnom príšer sú len dve možnosti, stať sa lovcov alebo príšerou. Arianna si ešte pamätá noc, keď ulice nepatrili ľuďom. Pamätá si rev v hmle, krv na dlažbe a tiene, v ktorých sa hýbalo viac, než malo. Pamätá si to lebo tiež bola vtedy na ulici. V Tmavohmle stratila detstvo, no našla zbraň a cieľ. Tam, kde kde sa mohla stať korisťou sa stala lovcom. <br><br> Dnes je lovkyňou, ktorá sa pred zlom neschováva v bezpečí svetla. Arianna kráča do temných uličiek sama, ticho a pripravená. Nie preto, že sa nebojí tmy, ale preto, že vie, čo sa v nej skrýva a rozhodla sa byť ešte horšia pre všetko, čo tam číha, než by to všetko bolo pre iných. Príšery si často myslia, že tieň je ich útočisko. Pri Arianne je to omyl. V Tmavohmle sa totiž naučila loviť presne tam, kde zlo čaká na slabých. Dnes je ona tým, čo číha v tme. 
Laestarien-Huf'paftin|Krotiteľ|Laestarien Huf'paftin|None|None|Elf|Fighter|Juhiera|Uriqen|139|Živá|Hed|Lovec študent - Skupina 740~3|Veselá a všestranná lovkyňa, ktorú odjakživa fascinovali víly. Nie pre ich krásu, ale pre ich vychcanosť. Obdivovala spôsob, akým dokázali robiť žartíky, ohýbať pravidlá a vykrútiť sa z problémov skôr, než si ostatní vôbec uvedomili, že nejaký problém vznikol. <br><br> Ako elfka mala desaťročia na to, aby ich pozorovala, študovala a pochopila. Z ich trikov si vzala viac než len zábavu. Naučila sa, že nie každý boj treba vyhrať hrubou silou. Niekedy stačí súpera zmiasť, nalákať, rozptýliť alebo priviesť presne tam, kde ho chce mať. <br><br> Práve preto sa stala Krotiteľkou príšer. Na bojisku využíva rýchly rozum, prefíkané triky a nečakané riešenia, ktoré často pôsobia skôr ako žart než taktika, až kým aj nezafungujú. Vie bojovať s mečom, ovláda aj ďalšie zbrane a dokáže sa prispôsobiť boju zblízka aj na diaľku. <br><br> Laestarien pôsobí ľahko, veselo a hravo, no pod tým je skúsená lovkyňa, ktorá veľmi dobre vie, čo robí. Jej štýl možno nevyzerá vždy vážne, ale práve v tom je jej sila. 
Purrtrick-Lung|Ochranca|Purrtrick Lung|None|None|Tabaxi|Fighter|Lesy Života|Levoslav|31|Živý|Hed|Lovec študent - Skupina 740~3|Purrtrick Lung je mohutný tabaxi s výzorom svalnatého snehového leoparda a zbrojou, v ktorej praská živý blesk. Už na pohľad pôsobí ako niekto, kto nebol stvorený na tiché prechádzky chodbou, ale na to, aby stál medzi nebezpečenstvom a ľuďmi, ktorí sa sami brániť nedokážu. <br><br> Ako malý zablúdil do Axrie, kde sa ho ujali ľudia a ochránili ho, keď to potreboval. Purrtrick na to nikdy nezabudol. Dnes im to spláca ako lovec, silou, vernosťou a ochotou postaviť sa príšerám, ktoré by iných prinútili cúvnuť. <br><br> Jeho pazúry nie sú známe tým, že by trhali telá, ale tým, že režú laná spútaných. Purrtrick vie byť desivý v boji, no jeho sila má jasný smer. Nie je to surová šelma vypustená na nepriateľa, ale ochranca, ktorý veľmi dobre vie, koho treba ochrániť. <br><br> Mrzí ho len jedna vec, že viac príšer nie je z rodu rýb. S tým sa však po rokoch služby už ako-tak zmieril. 
Nathaniel-Arachnit|Znalec|Nathaniel Arachnit|None|None|Human|Rogue|Jazierchat|Haš|32|Živý|Hed|Lovec študent - Skupina 740~3|Nathaniel Arachnit nikdy neplánoval stať sa lovcom. Oveľa prirodzenejšie mu išlo sledovať bojisko z diaľky, čítať pohyb nepriateľov a hľadať riešenie skôr, než sa ostatní vrhli do nebezpečenstva. Nebol typ, ktorý túžil po sláve v prvom rade. Radšej videl celú sieť problému a miesto, kde ju treba preťať. <br><br> Už pred akadémiou mal povesť podozrivého mladíka. Vedel liezť po budovách, miznúť v uličkách a vyhýbať sa hliadkam tak dobre, že mu ľudia prirodzene prisúdili krádeže. Nathanielovi však nikdy nič dokázané nebolo. A ako sám občas poznamenal — skutočný zlodej by predsa netrávil toľko večerov v knižnici. <br><br> Pravda je, že Nathaniel kradol najmä vedomosti. Roky sedával nad knihami, mapami, správami a starými záznamami, aby pochopil, ako veci fungujú. Kým iní trénovali len ruky alebo nohy, on trénoval pozorovanie, trpezlivosť a schopnosť nájsť cestu tam, kde ostatní videli len prekážku. <br><br> Dnes je Nathaniel Arachnit lovec, ktorého netreba podceniť len preto, že nestojí prvý v útoku. Nie každý boj sa vyhrá silou. Niektoré sa vyhrajú tým, že niekto z diaľky včas pochopí, kde sa celá sieť začne trhať. 
Dandaria-Bohova|Absorber|Dandaria Bohova|None|None|Human|Barbarian|Severana|Tamyda|32|Živá|Hed|Lovec študent - Skupina 740~4|O tejto postave sa toho veľa nevie
Tod|Popravca|Tod   Tichoš|None|None|Human?|Rogue?|???|???|???|Živý|Hed|Lovec študent - Skupina 740~4|O tejto postave sa toho veľa nevie
Valanari-Letkova|Ochranca|Valanari Letkova|None|None|Half-Elf|Monk|Granulia|Zedrad  |29|Živá|Hed|Lovec študent - Skupina 740~4|O tejto postave sa toho veľa nevie
Miloš-Ocelík|Znalec|Miloš Ocelík|None|None|Dwarf (Jeweler)|Bard|Skalodom|Rundrur|95|Živý|Hed|Lovec študent - Skupina 740~4|O tejto postave sa toho veľa nevie
Alexander-Juhierny|Znalec|Alexander Juhierny|None|None|Human|Wizard|Juhiera|Drercur|32|Živý|Hed|Lovec študent - Skupina 740~4|O tejto postave sa toho veľa nevie
Antikus-Grook|Absorber|Antikus Grook|Nie som nič viac než lovec ale ani nič menej.|A Hunter, Nothing More|Human|Fighter|Severana|Oker|32|Živý|Hed|Lovec študent - Skupina 740~6|O tejto postave sa toho veľa nevie
Bazalt_Tatoo|Popravca|Bazalt|None|None|Goliath|Barbarian|Ruiny Temnoty|Don|35|Živý|Hed|Lovec študent - Skupina 740~6|O tejto postave sa toho veľa nevie
Maja-Majakova|Krotiteľ|Maja Majakova|None|None|Human|Sorcerer|Juhiera|Nyxoria|31|Živá|Hed|Lovec študent - Skupina 740~6|O tejto postave sa toho veľa nevie
Mailo-Rudla|Ochranca|Mailo Rudla|None|None|Human|Cleric|Sostrov|Hellia|30|Živý|Hed|Lovec študent - Skupina 740~6|O tejto postave sa toho veľa nevie
Inge-Čarčoredka|Znalec|Inge Čarčoredka|None|None|Gnome|Artificier|Granulia|Hozrir|60|Živá|Hed|Lovec študent - Skupina 740~6|O tejto postave sa toho veľa nevie
Daniel-Kravke|Absorber|Daniel Kravke|None|None|Human|Warlock|Jazierchat|Umbriana|31|Živý|Hed|Lovec študent - Skupina 740~7|O tejto postave sa toho veľa nevie
Krištof-Ausdemtal|Popravca|Krištof Ausdemtal|None|None|Human|Fighter|Jazierchat|Revion|28|Živý|Hed|Lovec študent - Skupina 740~7|O tejto postave sa toho veľa nevie
Wolfgang-Sumrak|Krotiteľ|Wolfgang Sumrak|None|None|Genasi|Barbarian|Severana|Decon|32|Živý|Hed|Lovec študent - Skupina 740~7|O tejto postave sa toho veľa nevie
George-Hviezda|Ochranca|George Hviezda|None|Song of George Hviezda|Gnome|Bard|Lesohaj|Beau|82|Živý|Hed|Lovec študent - Skupina 740~7|O tejto postave sa toho veľa nevie
Krasko-Horenik|Znalec|Krasko Horenik|None|None|Human|Druid|Jazierchat|Gocian|28|Živý|Hed|Lovec študent - Skupina 740~7|O tejto postave sa toho veľa nevie
Helena-Sajkl|Popravca|Helena Sajkl|None|Helena of the Blooming Blade|Half-Elf|Paladin|Chladohrad|Tamyda|35|Živá|Hed|Lovec študent - Skupina 740~8|O tejto postave sa toho veľa nevie
Amanda-Okercera|Absorber|Amanda Okercera|None|None|Human (Demigod)|Barbarian|Juhiera|Oker|28|Živá|Hed|Lovec študent - Skupina 740~8|O tejto postave sa toho veľa nevie
Ervart-Goldschmied|Absorber|Ervart Goldschmied|None|Ervarth - Laugh at the Abyss|Human|Warlock|Jazierchat|Javan|29|Živý|Hed|Lovec študent - Skupina 740~8|Ervart Goldschmied pochádza zo šľachtického rodu, ktorý bol viac meno než skutočná moc. Narodil sa medzi zvyškami bohatstva, rodovými erbmi a prázdnymi stenami, kde sa o minulosti hovorilo hlasnejšie než o budúcnosti. V krvi má zlato, no v rukách skôr prach. <br><br> Napriek tomu z neho nevyrástol zlomený dedič. Ervart nosí šľachtický úsmev, panský kabát a v očiach iskru niekoho, kto sa rozhodol, že rozpad nemusí byť koniec. Tam, kde by iných hanba rodu alebo chudobná vznešenosť zatlačila k zemi, on si z nej spravil masku, zbraň a dôvod smiať sa ešte hlasnejšie. <br><br> Jeho moc je temná, no nie poddajná. Ervart pracuje s tieňmi, s kliatbou a silou, ktorú sotva drží úplne pod kontrolou. Nehrá sa na čistého hrdinu v bielom a zlate. Skôr patrí medzi tých, ktorí bojujú s temnotou zvnútra, vlastnými prasklinami a prekliatou iskrou v duši. <br><br> Keď sa priepasť pozerá na neho, neuhne pohľadom ale smeje sa jej. Práve tým je nebezpečný, nebojí sa, nemá strach ako, ako majú ostatný. Lebo on z temných miest dokáže vytiahnuť svetlo, z hanby výzvu a z pádu ďalší krok dopredu. <br><br> Ervart Goldschmied je šľachtic bez pevného zázemia, rebel s gentlemanským úklonom a muž, ktorý si nesie vlastnú kliatbu ako horiacu pochodeň. Svet je rozbitý, temnota hladná a on sa aj tak usmieva, akoby práve začínala najlepšia časť života. 
Dytria-Grats|Popravca|Dytria Grats|None|The Lion's Daughter|Human|Barbarian|Jazierchat|Javan|29|Živá|Hed|Lovec študent - Skupina 740~8|Dytria Grats je najstaršia vnučka Boralda Gratsa a najstaršia dcéra z poslednej generácie rodu Gratsovcov. Ako jediná zo svojich súrodencov a sesterníc ešte zažila starého otca osobne — a práve on jej vzal detstvo skôr, než vôbec pochopila, čo znamená bojovať.  Krátko po tom, čo sa naučila chodiť a udržať predmet v ruke, jej Borald vložil do ruky dýku a hodil ju do arény s pripraveným levom. Dytria tam takmer zomrela. Prežila len zázrakom, zranená a zjazvená, no živá. Boraldov synovia o tom nevedeli, a keď sa pravda ukázala, rodinné vzťahy sa hlboko narušili.  Od toho dňa už Dytria nebola dieťaťom. Stala sa ďalším nástrojom v Boraldovej posadnutej vízii rodu lovcov príšer. Trofej z leva nosí dodnes na pleci — kožu, srsť a pozostatky tvora, ktorého ako dieťa prežila. Hovorí sa, že v tej srsti stále zostala zvláštna pevnosť a antimagická sila, ktorú Dytria dokáže využiť v boji.  Dytria je tichá, zatrpknutá a odťažitá žena. Nehovorí viac, než musí, a keď už prehovorí, zvyčajne je to o boji, love alebo prežití. So svojím otcom takmer nekomunikuje. Najbližší jej bol Gregor, ktorý ju ako dieťa dokázal aspoň trochu pochopiť, no ten je dnes preč. S Ľudvikom si rozumie iba čiastočne a najbližšie má možno k sesterniciam Ľudmile a Grethe, hoci aj pred nimi si drží odstup.  Dytria pôsobí ako žena, ktorá nikdy nedostala možnosť byť dieťaťom. Je tvrdá, strohá a nebezpečne sústredená. Nie preto, že by nemala city, ale preto, že ju naučili, že city v aréne neprežijú. 
Vilo-Rozsipal|Absorber|Vilo Rozsipal|None|None|Human|Wizard|Jazierchat|Haset|30|Živý|Hed|Lovec študent - Skupina 740~8|O tejto postave sa toho veľa nevie
Bristila-Harfa|Znalec|Bristila Harfa|None|None|Half-Elf|Wizard|Sostrov|Zael|24|Živá|Hed|Lovec študent - Skupina 745~0|O tejto postave sa toho veľa nevie
Ľudmila-Grats|Ochranca|Ľudmila Grats|None|None|Human|Fighter|Jazierchat|Zael|23|Živá|Hed|Lovec študent - Skupina 745~0|O tejto postave sa toho veľa nevie
Lynda-Grookova|Popravca|Lynda Grookova|Žiadne zľutovanie a obzvlášť nie pre silných!|To Hades and Back|Human|Fighter|Severana|Oker|24|Živá|Hed|Lovec študent - Skupina 745~0|O tejto postave sa toho veľa nevie
Melisa-Svetlíková|Absorber|Melisa Svetlíková|None|None|Human|Blood Hunter|Pieskostan|Zariana|23|Živá|Hed|Lovec študent - Skupina 745~0|O tejto postave sa toho veľa nevie
Stela-Rifs|Krotiteľ|Stela Rifs|None|None|Aasimar|Ranger|Jazierchat|Dybok|26|Živá|Hed|Lovec študent - Skupina 745~0|O tejto postave sa toho veľa nevie
Ilibor-Kravke|Krotiteľ|Ilibor Kravke|None|None|Human|Blood Hunter|Jazierchat|Eira|27|Živý|Hed|Lovec študent - Skupina 745~1|O tejto postave sa toho veľa nevie
Janet-Majakova|Znalec|Janet Majakova|None|None|Human|Sorcerer|Juhiera|Zael|25|Živá|Hed|Lovec študent - Skupina 745~1|O tejto postave sa toho veľa nevie
Kwandu-Malrik|Popravca|Kwandu Malrik|None|None|Human|Warlock|Sostrov|Hellia|23|Živý|Hed|Lovec študent - Skupina 745~1|O tejto postave sa toho veľa nevie
Želmíra-TmavoKrvá|Ochranca|Želmíra TmavoKrvá|None|None|Human|Monk|Pieskostan|Syrvaad|26|Živá|Hed|Lovec študent - Skupina 745~1|O tejto postave sa toho veľa nevie
Roderick-Plamenný|Absorber|Roderick Plamenný|None|Hellfire Absolver|Tiefling|Sorcerer|Tmavohmla|Thelvus|28|Živý|empty|Lovec študent – Skupina 745~1|O tejto postave sa toho veľa nevie
Ivgar-Kugon|Absorber|Ivgar Kugon|None|None|Orc|Blood Hunter|Ogramište|Bland|17|Živý|Hed|Lovec študent - Skupina 745~2|O tejto postave sa toho veľa nevie
Anmada-Una'Lari|Popravca|Anmada Una'Lari|None|None|Elf|Fighter|Lesohaj|Virwraek|128|Živá|Hed|Lovec študent - Skupina 745~2|O tejto postave sa toho veľa nevie
Balwok-Wardan|Krotiteľ|Balwok Wardan|None|None|Dwarf|Barbarian|Vyskyna|Makrak|75|Živý|Hed|Lovec študent - Skupina 745~2|O tejto postave sa toho veľa nevie
Bastian-Konar|Ochranca|Bastian Konar Rytier|None|Bastian - Light That Endures|Human|Paladin|Zaskyna|Vallor|25|Živý|Hed|Lovec študent - Skupina 745~2|O tejto postave sa toho veľa nevie
Violet-Martin|Znalec|Violet Martin|None|None|Aasimar|Wizard|Chladohrad|Thelvus|26|Živá|Hed|Lovec študent - Skupina 745~2|O tejto postave sa toho veľa nevie
Bielko-Hularo|Absorber|Bielko Hularo|None|Bielkos Lucky Claws|Tabaxi|Rogue|Pieskostan|Javan|27|Živý|Hed|Lovec študent - Skupina 745~3|O tejto postave sa toho veľa nevie
Camile-Redeson|Znalec|Camile Redeson|None|None|Human|Wizard|Juhiera|Odizan|26|Živá|Hed|Lovec študent - Skupina 745~3|O tejto postave sa toho veľa nevie
Enu'Ana'Lia-Ounogou|Krotiteľ|Enu'Ana'Lia Ounogou|None|None|Half-Elf|Sorcerer|Stromoraj|Ralogolor|32|Živá|Hed|Lovec študent - Skupina 745~3|O tejto postave sa toho veľa nevie
Radovan-Rybník|Ochranca|Radovan Rybník|None|None|Human|Blood Hunter|Pieskostan|Davian|28|Živý|Hed|Lovec študent - Skupina 745~3|O tejto postave sa toho veľa nevie
Razag|Popravca|Razag|None|None|Lizardfolk|Barbarian|Ruiny Temnoty|empty|24|Živý|Hed|Lovec študent - Skupina 745~3|O tejto postave sa toho veľa nevie
Iveth-Asmaliova|Ochranca|Iveth Asmaliova|None|None|Half-Elf|Fighter|Lesohaj|Elavalur |25|Živá|Hed|Lovec študent - Skupina 745~4|O tejto postave sa toho veľa nevie
Ogscar-Rogba|Popravca|Ogscar Rogba|None|None|Orc|Paladin|Ogramište|Tiny|18|Živý|Hed|Lovec študent - Skupina 745~4|O tejto postave sa toho veľa nevie
Roman-Romulus|Absorber|Roman Romulus|None|None|Human|Fighter|Severana|Oker|24|Živý|Hed|Lovec študent - Skupina 745~4|O tejto postave sa toho veľa nevie
Sindarin-El'Nari|Krotiteľ|Sindarin El'Nari|None|None|Elf|Sorcerer|Chladohrad|Zylhana|128|Živá|Hed|Lovec študent - Skupina 745~4|O tejto postave sa toho veľa nevie
Zilou-Yund|Znalec|Zilou Yund|None|None|Genasi|Wizard|Chladohrad|empty|26|Živý|Hed|Lovec študent - Skupina 745~4|O tejto postave sa toho veľa nevie
Chris'tana-Hof’Goria|Popravca|Chris'tana Hof’Goria|None|None|Elf|Ranger|Juhiera|Zylhana|130|Živá|Hed|Lovec študent - Skupina 745~5|O tejto postave sa toho veľa nevie
Franze-Ogram|Krotiteľ|Franze Ogram|None|None|Half-Orc|Monk|Granulia|Beau|23|Živý|Hed|Lovec študent - Skupina 745~5|O tejto postave sa toho veľa nevie
Piter-Heinricht|Absorber|Piter Heinricht|None|None|Human|Fighter|Granulia|Eirich|24|Živý|Hed|Lovec študent - Skupina 745~5|O tejto postave sa toho veľa nevie
Urbar-Heinricht|Ochranca|Urbar Heinricht|None|None|Human|Fighter|Granulia|Eirich|56|Živý|Hed|Lovec študent - Skupina 745~5|O tejto postave sa toho veľa nevie
Zasmal-Zink|Znalec|Zasmal Zink|None|None|Gnome|Artificier|Granulia|Tharnid|59|Živý|Hed|Lovec študent - Skupina 745~5|O tejto postave sa toho veľa nevie
Claire-Erldikt|Znalec|Claire Erldikt|None|None|Half-Elf|Wizard|Pieskostan|Zurro|29|Živá|Hed|Lovec študent - Skupina 745~6|O tejto postave sa toho veľa nevie
Kaerth-Lanua|Ochranca|Kaerth Lanua|None|None|Tiefling|Bard|Tmavohmla|Mirlo|24|Živý|Hed|Lovec študent - Skupina 745~6|O tejto postave sa toho veľa nevie
Lana-Pecova|Absorber|Lana Pecova|None|None|Genasi|Druid|Stromoraj|Glacien|26|Živá|Hed|Lovec študent - Skupina 745~6|O tejto postave sa toho veľa nevie
Volia-Xazit|Krotiteľ|Volia Xazit|None|None|Human|Sorcerer|Skalodom|Ghad|27|Živá|Hed|Lovec študent - Skupina 745~6|O tejto postave sa toho veľa nevie
Garfolso-Ala'nuiara-Zelený|Popravca|Garfolso Ala'nuiara Zelený|None|None|Tabaxi|Fighter|Juhiera|Elavalur|25|Živý|Hed|Lovec študent - Skupina 745~6|O tejto postave sa toho veľa nevie
Ladislav-Bor|Popravca|Ladislav Bör Ursidae|None|None|Human|Fighter|Jazierchat|Errasa|24|Živý|Hed|Lovec študent - Skupina 745~7|O tejto postave sa toho veľa nevie
Privana-Ryzo|Absorber|Privana Ryzo|None|None|Halken|Blood Hunter|Juhiera|Ursox|23|Živá|Hed|Lovec študent - Skupina 745~7|O tejto postave sa toho veľa nevie
Quill-Meadow|Znalec|Quill Meadow|None|None|Half-Elf|Wizard|Lesohaj|Mirlo|28|Živá|Hed|Lovec študent - Skupina 745~7|O tejto postave sa toho veľa nevie
Tatiana-Rokhen|Ochranca|Tatiana Rokhen|None|None|Aasimar|Sorcerer|Severana|Zael|29|Živá|Hed|Lovec študent - Skupina 745~7|O tejto postave sa toho veľa nevie
Zuzalia-Biela|Krotiteľ|Zuzalia Biela|None|None|Aasimar|Paladin|Pieskostan|Hellia|28|Živá|Hed|Lovec študent - Skupina 745~7|O tejto postave sa toho veľa nevie
Kulkumak-Hularo|Znalec|Kulkumak Hularo|None|Midnight Mix of Kulkumak|Tabaxi|Artificier|Pieskostan|Rundrur|27|Živý|Hed|Lovec študent - Skupina 745~8|O tejto postave sa toho veľa nevie
Maghol|Absorber|Maghol|None|None|Tortle|Fighter|Sostrov|Hunkuka|24|Živý|Hed|Lovec študent - Skupina 745~8|O tejto postave sa toho veľa nevie
Pieta-Lensen|Ochranca|Pieta Lensen|None|None|Human|Barbarian|Ogramište|Rarex|24|Živá|Hed|Lovec študent - Skupina 745~8|O tejto postave sa toho veľa nevie
Trinta-Golhes|Krotiteľ|Trinta Golhes|None|None|Half-Elf|Artificier|Granulia|Mirantra|28|Živá|Hed|Lovec študent - Skupina 745~8|O tejto postave sa toho veľa nevie
Vayla-Rosa|Popravca|Vayla Rosa|None|None|Human|Ranger|Jazierchat|Revion|25|Živá|Hed|Lovec študent - Skupina 745~8|O tejto postave sa toho veľa nevie
Juraj-Arachnit|Absorber|Juraj Arachnit|None|None|Human|Rogue|Jazierchat|Melou|27|Živý|Hed|Lovec študent - Skupina 745~9|O tejto postave sa toho veľa nevie
Gretha-Grats|Krotiteľ|Gretha Grats|None|None|Human|Cleric|Jazierchat|Saci|24|Živá|Hed|Lovec študent - Skupina 745~9|O tejto postave sa toho veľa nevie
Kranga-Guroles|Popravca|Kranga Guroles|None|None|Orc|Blood Hunter|Ogramište|Grenava|20|Živá|Hed|Lovec študent - Skupina 745~9|O tejto postave sa toho veľa nevie
Majk|Ochranca|Majk|None|None|Goliath|Druid|Lesy Života|Uaqaeht|23|Živý|Hed|Lovec študent - Skupina 745~9|O tejto postave sa toho veľa nevie
Sofia-Klarueox|Znalec|Sofia Klarueox|None|None|Half-Elf|Sorcerer|Jazierchat|Geles|28|Živá|Hed|Lovec študent - Skupina 745~9|O tejto postave sa toho veľa nevie
