Image|Logo|Name|Nickname|Citát|Music|Race|Focus|Origin|God|Age|Status|Title|Position|Description|
Morga-Dakrad|Popravca|Morga Dakrad||None|None|Orc|Barbarian|Granulia|Tiny|24|Živá|Hed|Lovec študent - Skupina 740~1|Na pomery barbarov, a obzvlášť orkov, prekvapivo spôsobivá a dôstojná dáma. Vie pôsobiť pevne, hrdo a pokojne, akoby každé jej slovo malo váhu železa. Tento pokoj však vydrží len dovtedy, kým nezačne boj. <br><br> V boji je Morga divoká ako rieka počas jarnej búrky, keď sa lámu ľady a voda berie všetko, čo jej stojí v ceste. Neútočí jemne ani opatrne. Keď sa pohne, je to náraz sily, hnevu a neúprosnej vytrvalosti. A keď jej mágia dovolí narásť do veľkosti obrov, stáva sa z nej živá pohroma pre každého veľkého nepriateľa. <br><br> Proti obrom, beštiám a mohutným monštrám sa cíti prirodzene. Čím väčší protivník, tým jasnejší cieľ. Skutočný problém pre ňu nie sú veľké hrozby, ale veľa malých naraz — rýchle, roztrúsené a otravné ciele, ktoré sa nedajú jednoducho zraziť jedným ničivým úderom. <br><br> Našťastie Morga nie je sama. Má tím, na ktorý sa môže spoľahnúť, a práve to z nej robí ešte nebezpečnejšiu lovkyňu. Ona zastaví to najväčšie, podrží líniu a rozbije chrbticu boja, zatiaľ čo ostatní zvládnu chaos okolo nej. Morga Dakrad je dáma mimo boja, búrka v boji a sila, ktorú je lepšie mať na svojej strane.|
Lavri-Oblag|Krotiteľ|Lavri Oblag | Modelka|None|Lavri - Beauty and Brain|Human|Wizard|Juhiera|Zael|29|Živá|Hed|Lovec študent - Skupina 740~1|Žena, ktorú pozná každý, kto prešiel mestom. Jej tvár sa objavuje na reklamách, plagátoch a bilboardoch tak často, že človek by musel byť slepý, aby ju nikdy nevidel. Krásna, výrazná a dokonale zapamätateľná, Lavri pôsobí ako niekto, kto sa narodil pre obdiv davu. <br><br> Lenže pri Lavri je prvý dojem iba začiatok klamstva. Za jej vzhľadom, vystupovaním a verejným obrazom sa skrýva omnoho viac, než odhalí prvý, druhý či tretí pohľad. Nie je len ozdobou reklám ani peknou tvárou medzi kúzelníkmi. Je inteligentná, nebezpečná a presne vie, ako ľudia reagujú na krásu. <br><br> Tí, ktorí sa dostali na jej zlú stranu, veľmi rýchlo pochopili, že Lavriina krása nie je iba výsada. Je to nástroj, štít aj zbraň. Dokáže ňou otvárať dvere, lámať pozornosť, odvádzať pohľady a dostať sa bližšie, než by jej nepriatelia dovolili, keby ju brali vážne od začiatku. <br><br> Jej kniha plná kúziel je nebezpečná, no Lavri sama možno ešte viac. Pretože kým kúzlo človek niekedy spozná až podľa svetla v ruke, Lavri už dávno pôsobí skôr, než vôbec začne čarovať.|
Majky-Neon|Ochranca|Majky Neon||None|Metal Goliath|Gnome|Artificier|Granulia|Hozrir|53|Živý|Hed|Lovec študent - Skupina 740~1|Len s kovovým plátom na hrudi, jednou rukavicou a hlavou plnou nápadov. takto začal Majky svoju cestu lovca. Skrutku za skrutkou, plát po pláte však svoju výstroj zdokonaľoval, až z nej vytvoril zbroj, ktorú dnes poznajú ako Mechanický Goliat. <br><br> Postupom času sa jeho zbroj stala slávnejšou než on sám. Niektorí ľudia si dokonca neuvedomujú, že nejde o samostatnú bytosť, ale o nástroj, ktorý Majky navrhol, postavil a ovláda. To je však presne jeho najväčší úspech — vytvoril niečo také pôsobivé, že legenda prerástla samotného tvorcu. <br><br> Lenže ako každý nástroj, aj Mechanický Goliat je silný iba tak, ako ten, kto ho používa. A Majky Neon ho používa naplno. Každý pohyb, každý úder a každý mechanický zlepšovák je výsledkom jeho dôvtipu, odvahy a tvrdohlavej práce. <br><br> Majky je dôkazom, že veľkosť sa nemeria výškou. Keď vstúpi do boja vo svojej zbroji, nikto sa už nesmeje tomu, že gnómovia sú malí. |
Theresa-Thlavinova|Znalec|Theresa Thlavinova||None|None|Half-Elf|Sorcerer|Lesohaj|Mirlo|33|Živá|Hed|Lovec študent - Skupina 740~1|Theresa Thlavinova je odpoveďou na otázku, čo vznikne spojením krvi človeka, elfa a celestiala. Z každej línie si nesie niečo vlastné — krásu elfa, ľudské zapretie a mágiu nebies. Pôsobí jemne a vznešene, no pod tým je trpezlivá, dôsledná a mimoriadne schopná Znalec. <br><br> Prvé, čo sa Theresa naučila, nebol boj ani kúzla, ale jazyky. Ako jedna z mála nepotrebuje prekladač, magický výklad ani cudziu pomoc, aby pochopila texty a reč iných národov. Dokonca aj zabudnuté jazyky dokáže vyrozumieť lepšie než väčšina učencov, pretože nehľadá len slová, ale aj vzorce, pôvod a zmysel. <br><br><br><br> Práve preto sa niektorí pýtajú, či je taká dobrá Znalec preto, že o monštrách študuje, alebo preto, že rozumie ich reči. Theresa na to zvyčajne odpovedá pokojne.... samozrejme, že študuje. Monštrá predsa reč nemajú. Teda väčšina nie. <br><br> V boji aj výskume je nebezpečná tým, že vie pochopiť veci skôr, než ich iní vôbec pomenujú. Starý nápis, zvláštny zvuk, fragment zakázaného textu alebo stopa po rituáli sú pre ňu rozhovorom, ktorý ešte neskončil. Theresa Thlavinova je Znalec, ktorá dokáže čítať svet tam, kde iní vidia iba ticho. |
Velimira-Modrislava-Malinova_2026_2|Znalec|Velimira Modrislava Malinova | Modra|Ako to, že mágia je tým viac vzrušujúca čím bližšie pri sebe stojíme?|Azure Temptation|Human|Wizard|Jazierchat|None|26|Živá|Hed|Lovec študent - Skupina 740~2|Velimira Modrislava Malinova je Znalec, ktorá nikdy nehľadá len správne riešenie. Správne riešenie je pre ňu iba základ. Skutočne zaujímavé riešenie musí mať tvar, výzor, efekt a najlepšie aj dramatický nástup. Tam, kde by iný učenec našiel najkratšiu cestu k výsledku, Velimira hľadá cestu, ktorá bude nezabudnuteľná. <br><br> Bežné odpovede na problém ju nudia. Štýlové odpovede ju zaujímajú. Kúzlo nemá iba fungovať, má vyzerať dobre. Plán nemá byť iba účinný, má mať eleganciu. Aj obyčajný krok, pohľad či poznámka môže niesť podpis človeka, ktorý vie presne, ako chce pôsobiť. <br><br> Nie vždy je to potrebné. Niekedy je to zbytočné, niekedy prehnané a občas by jednoduchšie riešenie bolo praktickejšie. Lenže Velimira nie je človek, ktorý sa uspokojí s tým, že niečo iba vyšlo. Chce, aby si ľudia zapamätali, ako to vyšlo. <br><br> Jej krása, ostrý jazyk, inteligencia a mágia spolu vytvárajú ideálnu kombináciu na produkovanie nezabudnuteľných výsledkov. Velimira nevyužíva kúzla len tak, ako boli napísané v učebniciach. Rada ich ohýba, prekladá do iného zmyslu a používa spôsobom, na ktorý pôvodne možno vôbec neboli určené. Práve táto záľuba v netradičnom použití mágie jej už neraz pomohla vyriešiť problém nečakaným spôsobom, a niekedy dokonca aj priviedla k vytvoreniu úplne nového kúzla. <br><br> Ona jednoducho rieši problémy tak ako krajčírka šije šaty, na mieru, odvážne a tak, aby výsledok nebol len funkčný, ale aj nádherný. |
Anaria-Argentum|Krotiteľ|Anaria Argentum | Búrka|Nekomplikujme si to keď nemusíme.|The Calm Before Her Name|Genasi|Sorcerer|Sostrov|Rarex|33|Živá|Hed|Lovec študent - Skupina 740~2|Anaria Argentum, zvaná Búrka, pôsobí mimo boja vrúcne, pokojne a takmer odzbrojujúco. Je typ človeka, pri ktorom sa hlas stíši prirodzene, nie zo strachu, ale z rešpektu k jej tichej prítomnosti. Vie počúvať, usmiať sa a vniesť do miestnosti pokoj, aký by od nej nepriateľ nikdy nečakal. <br><br> V boji sa však táto zdržanlivosť mení na desivú magickú intenzitu. Anaria je Genasi a v žilách jej prúdi blesk, preto práve s ním pracuje najprirodzenejšie. Keď začne čarovať, jej pokoj sa nezlomí, iba sa premení na sústredenú búrku. <br><br> Nie je hlučná preto, aby zastrašila. Hluk je len vedľajší efekt toho ako ostáva sústredená, zatiaľ čo sa okolo nej trhá vzduch a oblohu pretína svetlo. Anaria Argentum je dôkazom, že aj najjemnejší človek môže v boji niesť meno Búrka právom. |
Hekdor-Kovadlina-Kovalsky|Ochranca|Hekdor Kovalsky | Kovadlina|Netráp sa tým, stále to môžeš skúsiť znova.|Hekdor, Between Sky and Stone|Human (Demigod)|Paladin|Jazierchat|Dridras|32|Živý|Hed|Lovec študent - Skupina 740~2|Hekdor Kovadlina Kovalsky je poloboh, paladin a syn Kybáda, boha zeme a magmy. Rovnako ako legendárni hrdinovia starých čias, aj on je neustále skúšaný bohmi. Každá výzva má preveriť, či je hodný svojej krvi, svojho mena a sily, ktorú v sebe nesie. Hekdor sa však nesnaží byť dokonalý. Snaží sa nezlyhať vtedy, keď na ňom záleží najviac.<br><br>Hoci je jeho otcom Kybád, Hekdorova viera patrí najmä Dridrasovi, bohu kovobrábania a patrónovi kováčov. Jeho matka bola smrteľná kováčka, ktorá Dridrasa celý život uznávala, a práve cez ňu Hekdor pochopil, že sila nemá byť len lávou a úderom, ale aj remeslom, trpezlivosťou a poctivou prácou. Preto jeho paladinská viera nestojí len na božskej krvi, ale na kovárskej cti.<br><br>Prezývku Kovadlina získal preto, že v jeho rukách sa dá skutočne kovať. Dlane dokáže rozpáliť ako magmu jeho otca Kybáda a svaly má pevné ako hlavu kladiva. Nie je len bojovník, ktorý drží zbraň. Je sám nástrojom kovárne — kovadlina. Oheň aj úder v jednom tele.<br><br>Hekdor má aj nevlastného brata, Kratola Uroqula, ďalšieho známeho syna Kybáda. Cez Kratola je s jeho životom spätá aj Xenia Uroqal, Kratolova sestra z matkinej strany, ktorá je s Hekdorovom tíme. Spolu s ňou patria medzi jeho najdôležitejších ľudí Erik, Velimira a Anaria. Nie sú preňho iba spolubojovníci z jednej skupiny. Sú to tí, ktorí mu pomohli prežiť prvé skúšky poloboha, zosilnieť a stať sa mužom, hrdinom akým dnes je.<br><br>Preto keď niekto z nich potrebuje pomoc, Hekdor pri ňom stojí bez váhania. Je tvrdý ako kovadlina, ale srdcom zostáva človek. Jeho sila nie je len v božskom pôvode, ale v tom, že ju používa pre ľudí.|
Xenia-Uroqal|Absorber|Xenia Uroqal | Strela|Lepšie ‚nejak‘ a rýchlo, ako výborne ale neskoro.|Leave It To Xenia |Human|Fighter|Pieskostan|None|29|Živá|Hed|Lovec študent - Skupina 740~2|Xenia Uroqal je hlučná, nebojácna a prudká lovkyňa, ktorá koná skôr, než ostatní stihnú premýšľať. Prichádza rýchlo, nahlas a bez ospravedlnenia, čo ju robí ľahko zapamätateľnou. <br><br> Je impulzívna a súťaživá, no nie bezhlavo neopatrná. Nebezpečenstvo pozná, len mu ide oproti. Práve tým často zaskočí protivníkov, ktorí očakávajú váhanie alebo plán. V boji je rýchla, dravá a nepredvídateľná. Nečaká na ideálny moment ona ich vytvára pre iných. Nie vždy elegantne, ale zvyčajne účinne. <br><br> Vyrástla v tieni polobohov: jej brat Kratol aj člen týmu Hekdor sú synovia boha Kybáda. Xenia sa však nedala zatlačiť do úzadia a snaží sa nimi držať krok. <br><br> Nie je najpokojnejšia ani najrozumnejšia, ale je iskra, ktorá rozhýbe veci. Keď príde Xenia, problémy prídu s ňou, a často jeden nový problém vyrieši dva staré.|
Erik-Kolt|Popravca|Erik Kolt | Vojak|Všetko je o príprave.|The Green Coat of Erik Kolt|Human|Fighter|Jazierchat|Revion|35|Živý|Hed|Lovec študent - Skupina 740~2|Nie tak lovec ako vojak zo starej zbrojárskej línie Koltovcov, rodu spojeného s prvými veľkými pokrokmi v strelných zbraniach. Pre Erika nie je zbraň len nástroj. Je to dedičstvo, zodpovednosť a dôkaz disciplíny. Každý jeho výstrel má byť presný, čistý a premyslený. <br><br> Na rozdiel od svojho staršieho brata Damiana nebojuje inštinktom, ale výpočtom. Damian vystrelí, keď cíti správny okamih. Erik čaká, kým si ho vytvorí. Nikdy neplytvá nábojmi, nespolieha sa na šťastie a každú chybu si pamätá dlhšie, než by mal. <br><br> Hoci je schopný, disciplinovaný a čisto technicky aj lepší strelec ale stále je viac známy ako Damianov brat, než ako Erik. To, že brat sa stal nedávno vedúcim fakulty popravcov Erikovi vôbec nepomohlo vymaniť sa z bratovho tieňa. <br><br> Jeho typickou zbraňou je Kolt Eisenwolf, presná a dôkladne upravená pištoľ s väčším dostrelom a vnútorným zásobníkom. Nie je to hlučná ničivá zbraň ako Damianov Thunderstrike. Eisenwolf je nástroj pre strelca, ktorý sa nebeží nervózne po bojisku, ale pomaly kráča, nedýcha v panike ale pravidelne do rytmu a nestriaľa do vetra ale presne na cieľ. <br><br> Erik pôsobí chladne, prísne a bez humoru ale vždy dosiahne výsledok. |
Mishel-Regebe|Absorber|Mishel Regebe||None|None|Human|Warlock|Pieskostan|Harvien|30|Živá|Hed|Lovec študent - Skupina 740~3|Znepokojivo tichá lovkyňa, o ktorej sa hovorí, že jej otec nepochádzal z tohto sveta ale zo sveta démonov. Jej krv je však stále ľudská, hoci pod kožou jej pulzuje temná energia ako uvoľnená žila mágie. Nie je to sila, ktorá by pôsobila čisto či vznešene. Skôr je ako niečo, čo sa drží v tieni, kým sa nerozhodne prehovoriť. <br><br> Jej mágia sa zriedka prejaví priamo. Najskôr sa ťahá ako dym, tieň alebo čierna rana vo vzduchu, až potom z nej vznikne samotné kúzlo. Kým iní čarodejníci žiaria, horia alebo kreslia runy svetlom, Mishel pôsobí, akoby kúzla vyťahovala z miesta, kam by sa ľudia radšej nepozerali. <br><br> Veľa toho nenahovorí. A keď už prehovorí dlhšie, často skĺzne do jazyka, ktorý nikto v miestnosti nepozná. Niektorí si myslia, že ide o starý zabudnutý jazyk. Iní dúfajú, že to jazyk vôbec nie je. Mishel to zvyčajne nevysvetľuje. <br><br> Nie je hlučná, teatrálna ani otvorene hrozivá. Práve preto z nej ide nepokoj. Stojí bokom, sleduje, mlčí a necháva temnú energiu pod kožou pulzovať ako varovanie. Mishel Regebe je pripomienkou, že nie každá moc prichádza zo svetla a nie každá temnota musí kričať, aby ju bolo cítiť.|
Arianna-Arconia|Popravca|Arianna Arconia||None|None|Human|Warlock|Tmavohmla|Vacan|29|Živá|Hed|Lovec študent - Skupina 740~3|V meste plnom príšer sú len dve možnosti, stať sa lovcov alebo príšerou. Arianna si ešte pamätá noc, keď ulice nepatrili ľuďom. Pamätá si rev v hmle, krv na dlažbe a tiene, v ktorých sa hýbalo viac, než malo. Pamätá si to lebo tiež bola vtedy na ulici. V Tmavohmle stratila detstvo, no našla zbraň a cieľ. Tam, kde kde sa mohla stať korisťou sa stala lovcom. <br><br> Dnes je lovkyňou, ktorá sa pred zlom neschováva v bezpečí svetla. Arianna kráča do temných uličiek sama, ticho a pripravená. Nie preto, že sa nebojí tmy, ale preto, že vie, čo sa v nej skrýva a rozhodla sa byť ešte horšia pre všetko, čo tam číha, než by to všetko bolo pre iných. Príšery si často myslia, že tieň je ich útočisko. Pri Arianne je to omyl. V Tmavohmle sa totiž naučila loviť presne tam, kde zlo čaká na slabých. Dnes je ona tým, čo číha v tme. |
Laestarien-Huf'paftin|Krotiteľ|Laestarien Huf'paftin||None|None|Elf|Fighter|Juhiera|Uriqen|139|Živá|Hed|Lovec študent - Skupina 740~3|Veselá a všestranná lovkyňa, ktorú odjakživa fascinovali víly. Nie pre ich krásu, ale pre ich vychcanosť. Obdivovala spôsob, akým dokázali robiť žartíky, ohýbať pravidlá a vykrútiť sa z problémov skôr, než si ostatní vôbec uvedomili, že nejaký problém vznikol. <br><br> Ako elfka mala desaťročia na to, aby ich pozorovala, študovala a pochopila. Z ich trikov si vzala viac než len zábavu. Naučila sa, že nie každý boj treba vyhrať hrubou silou. Niekedy stačí súpera zmiasť, nalákať, rozptýliť alebo priviesť presne tam, kde ho chce mať. <br><br> Práve preto sa stala Krotiteľkou príšer. Na bojisku využíva rýchly rozum, prefíkané triky a nečakané riešenia, ktoré často pôsobia skôr ako žart než taktika, až kým aj nezafungujú. Vie bojovať s mečom, ovláda aj ďalšie zbrane a dokáže sa prispôsobiť boju zblízka aj na diaľku. <br><br> Laestarien pôsobí ľahko, veselo a hravo, no pod tým je skúsená lovkyňa, ktorá veľmi dobre vie, čo robí. Jej štýl možno nevyzerá vždy vážne, ale práve v tom je jej sila. |
Purrtrick-Lung|Ochranca|Purrtrick Lung||None|None|Tabaxi|Fighter|Lesy Života|Levoslav|31|Živý|Hed|Lovec študent - Skupina 740~3|Purrtrick Lung je mohutný tabaxi s výzorom svalnatého snehového leoparda a zbrojou, v ktorej praská živý blesk. Už na pohľad pôsobí ako niekto, kto nebol stvorený na tiché prechádzky chodbou, ale na to, aby stál medzi nebezpečenstvom a ľuďmi, ktorí sa sami brániť nedokážu. <br><br> Ako malý zablúdil do Axrie, kde sa ho ujali ľudia a ochránili ho, keď to potreboval. Purrtrick na to nikdy nezabudol. Dnes im to spláca ako lovec, silou, vernosťou a ochotou postaviť sa príšerám, ktoré by iných prinútili cúvnuť. <br><br> Jeho pazúry nie sú známe tým, že by trhali telá, ale tým, že režú laná spútaných. Purrtrick vie byť desivý v boji, no jeho sila má jasný smer. Nie je to surová šelma vypustená na nepriateľa, ale ochranca, ktorý veľmi dobre vie, koho treba ochrániť. <br><br> Mrzí ho len jedna vec, že viac príšer nie je z rodu rýb. S tým sa však po rokoch služby už ako-tak zmieril. |
Nathaniel-Arachnit|Znalec|Nathaniel Arachnit||None|None|Human|Rogue|Jazierchat|Haš|32|Živý|Hed|Lovec študent - Skupina 740~3|Nathaniel Arachnit nikdy neplánoval stať sa lovcom. Oveľa prirodzenejšie mu išlo sledovať bojisko z diaľky, čítať pohyb nepriateľov a hľadať riešenie skôr, než sa ostatní vrhli do nebezpečenstva. Nebol typ, ktorý túžil po sláve v prvom rade. Radšej videl celú sieť problému a miesto, kde ju treba preťať. <br><br> Už pred akadémiou mal povesť podozrivého mladíka. Vedel liezť po budovách, miznúť v uličkách a vyhýbať sa hliadkam tak dobre, že mu ľudia prirodzene prisúdili krádeže. Nathanielovi však nikdy nič dokázané nebolo. A ako sám občas poznamenal — skutočný zlodej by predsa netrávil toľko večerov v knižnici. <br><br> Pravda je, že Nathaniel kradol najmä vedomosti. Roky sedával nad knihami, mapami, správami a starými záznamami, aby pochopil, ako veci fungujú. Kým iní trénovali len ruky alebo nohy, on trénoval pozorovanie, trpezlivosť a schopnosť nájsť cestu tam, kde ostatní videli len prekážku. <br><br> Dnes je Nathaniel Arachnit lovec, ktorého netreba podceniť len preto, že nestojí prvý v útoku. Nie každý boj sa vyhrá silou. Niektoré sa vyhrajú tým, že niekto z diaľky včas pochopí, kde sa celá sieť začne trhať. |
Dandaria-Bohova|Absorber|Dandaria Bohova||None|None|Human|Barbarian|Severana|Tamyda|32|Živá|Hed|Lovec študent - Skupina 740~4|Lovkyňa, ktorú si väčšina ľudí zapamätá podľa dvoch obrovských mečov. Na prvý pohľad pôsobia príliš veľké, ťažké a takmer nepraktické, akoby boli určené pre niekoho väčšieho než ona. Lenže to platí iba dovtedy, kým sa Dandaria nerozhnevá. <br><br> Keď sa pustí do bojového hnevu, mení sa spolu s ním aj jej telo. Svaly sa napnú, postoj sa rozšíri a zbrane, ktoré pred chvíľou vyzerali prehnane, jej zrazu padnú do rúk presne tak, ako majú. Vtedy už nepôsobí ako žena s príliš veľkými mečmi, ale ako niekto, komu boli tie meče od začiatku súdené. <br><br> V boji je nezastaviteľná, nekompromisná a drsná. Nehľadá elegantnú cestu, nehrá sa so súperom a neustupuje, keď sa veci zhoršia. Každý výpad je tvrdý, každý krok tlačí nepriateľa späť a každý úder pripomína, že Dandaria neprišla vyjednávať.|
Tod|Popravca|Tod | Tichoš|None|None|Human?|Rogue?|???|???|???|Živý|Hed|Lovec študent - Skupina 740~4|Údajne nepovedal ani jedno slovo od chvíle, keď nastúpil na akadémiu. Volal sa jednoducho Tod, no prezývku Tichoš získal tak rýchlo, že si dnes mnohí myslia, že je súčasťou jeho plného mena. <br><br> Tod je tichý, nenápadný a mimoriadne efektívny lovec. Nevysvetľuje, nevyhráža sa a nepotrebuje na seba pútať pozornosť. Zvuky, ktoré zaňho hovoria, sú bodnutie čepele a pád príšery, ku ktorej sa dostal bez toho, aby si ho všimla. <br><br> Kým iní budujú povesť slovami, Tod za seba necháva hovoriť skutky. A tie bývajú veľmi presné. |
Valanari-Letkova|Ochranca|Valanari Letkova||None|None|Half-Elf|Monk|Granulia|Zedrad  |29|Živá|Hed|Lovec študent - Skupina 740~4|Valanari Letkova je odpoveďou na otázku, čo sa stane, keď sa tradícia rytierstva stretne s moderným bojovým umením. Kedysi bojovala v plnej zbroji, ako sa na rytiera patrí, no čím viac skúseností získavala, tým jasnejšie videla, že ju kov nechráni vždy na plno ale práva ju skôr obmedzuje. <br><br> Postupne preto zbroj upravovala. Nie podľa tradície, ale podľa potreby. Kus po kuse mizli časti, ktoré jej brali pohyb, až z nej zostala ochrana najmä na rukách a nohách, presne tam, kde plánuje prijímať údery a vracať ich späť. <br><br> Zvyšok tela má odkrytý nie z márnivosti, ale strategicky. Valanari sa pohybuje rýchlejšie, reaguje čistejšie a v čele boja vydrží paradoxne dlhšie než v plnej zbroji. Nespolieha sa na to, že všetko odolá. Spolieha sa na to, že ju nepriateľ trafí len tam, kde mu to dovolí. |
Miloš-Ocelík|Znalec|Miloš Ocelík||None|None|Dwarf (Jeweler)|Bard|Skalodom|Rundrur|95|Živý|Hed|Lovec študent - Skupina 740~4|Miloš Ocelík je trpaslík, ktorého hlas znie ďaleko a hlboko. Je hudobník srdcom a lovec dušou, muž, ktorý dokáže z obyčajnej piesne spraviť spomienku, varovanie aj dobrú zábavu pri ohni. <br><br> Ako Znalec zbiera legendy, staré príbehy a poľovnícke záznamy, ktoré potom vkladá do svojich piesní. Niekedy sa v nich nájde užitočný detail o príšere, zabudnutom mieste alebo dávnej chybe lovcov. Inokedy sa tam nájde hlavne niečo oplzlé, pretože Miloš dobre vie, že aj učenosť sa lepšie počúva, keď má rytmus a trochu hanby. <br><br> Nie každá jeho pieseň prinesie cennú informáciu. Nie každá legenda je pravdivá a nie každý verš má hlboký význam. No aj keď sa v piesni nenájde nič použiteľné pre výskum, Milošov hlas a melódia samy o sebe stoja za vypočutie. <br><br>Miloš Ocelík je Znalec, ktorý chápe, že vedomosti nemusia vždy ležať len v knihách. Niekedy prežijú práve preto, že ich niekto zaspieva. |
Alexander-Juhierny|Znalec|Alexander Juhierny||None|None|Human|Wizard|Juhiera|Drercur|32|Živý|Hed|Lovec študent - Skupina 740~4|Alexander Juhierny vyrastal v uliciach mesta, kde sa naučil, že papier zmokne a atrament stojí peniaze. Keď raz medzi odpadkami našiel scrying orb, nezačal ním sledovať susedské okná, ale lovcov. Hodiny pozoroval ich súboje, chyby, kúzla a taktiky a všetko si ukladal do pamäti. Tak si vybudoval prehľad, aký nemali ani mnohí študenti akadémie. <br><br> Jeho prvé kúzlo nevzniklo z knihy, ale z opakovania toho, čo videl cez orb. Čím viac vedel, tým viac ho poznanie ťahalo bližšie k skutočnému boju, až raz ako obyčajný pouličný chlapec poradil lovcovi a jeho rada skutočne rozhodla súboj. <br><br> Lovec mu dal podiel z odmeny. Alexander ho neminul na jedlo, posteľ ani nové šaty. Zaplatil si zápis medzi lovcov a vstúpil k Znalcom. Z ulice si priniesol výbornú pamäť, skúsenosti získané pozorovaním a presvedčenie, že aj ten, kto stojí ďaleko od boja, môže rozhodnúť, kto ho prežije. |
Antikus-Grook|Absorber|Antikus Grook||Nie som nič viac než lovec ale ani nič menej.|A Hunter, Nothing More|Human|Fighter|Severana|Oker|32|Živý|Hed|Lovec študent - Skupina 740~6|Antikus Grook je lovec bez božskej krvi, proroctva či veľkého mena. Nemá požehnanie z nebies ani silu zdedenú po predkoch. Má len kopiju, štít, jazvy a odhodlanie zostať stáť tam, kde iní ustupujú. Keď sa príšery vrhnú dopredu, Antikus im nejde oproti ako legenda, ale ako človek, ktorý sa jednoducho rozhodol, že ich nepustí ďalej. <br><br> Krváca ako každý iný, unaví sa ako každý iný a jeho kosti sa lámu rovnako ľahko. Lenže Antikus vstane znova. Práve preto sa ho príšery boja. Nie preto, že by bol poloboh, ale preto, že ním nie je — a aj tak sa stále vracia do boja. <br><br> Antikus Grook je lovec, nič viac a nič menej. A možno práve preto patrí medzi tých najnebezpečnejších. |
Bazalt_Tatoo|Popravca|Bazalt||None|None|Goliath|Barbarian|Ruiny Temnoty|Don|35|Živý|Hed|Lovec študent - Skupina 740~6|Bazalt je goliath, ktorému Axria sadla až nebezpečne dobre. Jeho hnev je ako hora v pohybe — ťažký, tvrdý a pripravený zosunúť sa na všetko, čo mu stojí v ceste. Pokojný život preňho nikdy nebol skutočným lákadlom. <br><br> Keď sa dopočul, že existuje miesto, kde sa človek môže pravidelne vystavovať smrteľnému nebezpečenstvu v boji s príšerami, jeho krv začala vrieť. Pre iných to znelo ako šialenstvo. Pre Bazalta ako pozvanie. <br><br> Nevydal sa cestou lovca preto, že by hľadal slávu alebo vznešené poslanie. Vydal sa ňou preto, že boj s monštrami bol konečne dosť veľký problém na to, aby doň mohol naplno vraziť celou svojou silou. |
Maja-Majakova|Krotiteľ|Maja Majakova||None|None|Human|Sorcerer|Juhiera|Nyxoria|31|Živá|Hed|Lovec študent - Skupina 740~6|Maja Majakova má mágiu v žilách, radosť v očiach a vášeň v srdci. Nič nerobí napoly. Keď sa do niečoho pustí, vloží do toho celú seba — niekedy, vlastne väčšinou, až príliš. <br><br> Ľahko sa nechá pohltiť momentom, emóciou aj vlastným nadšením. Práve preto je však skvelá Krotiteľka. Tam, kde iní ešte premýšľajú, čo sa deje, Maja už cíti zmenu v správaní, napätí alebo pohybe. <br><br> Jej inštinkt často zareaguje skôr než myseľ. A hoci ju to občas dostane do problémov, rovnako často jej to dovolí pochopiť príšeru, situáciu alebo človeka skôr, než to dokáže ktokoľvek iný. |
Mailo-Rudla|Ochranca|Mailo Rudla||None|None|Human|Cleric|Sostrov|Hellia|30|Živý|Hed|Lovec študent - Skupina 740~6|Mailo Rudla sa nikdy nechcel stať lovcom. Jeho snom bolo byť lekárnikom, miešať lieky, masti a odvary, ktoré pomáhajú ľuďom skôr, než sa veci zhoršia. To sa zmenilo, keď jeho starší brat ochorel počas lovu a Mailo pochopil, že nestačí vedieť liečiť následky. Musí poznať aj zdroj nákazy. <br><br> Preto sa vydal cestou viery a stal sa Ochrancom. Stojí vpredu, keď treba niekoho zastaviť, a lieči vzadu, keď treba niekoho udržať pri živote. Nie je lovcom preto, že by túžil po boji, ale preto, že niektoré choroby, kliatby a jedy sa nedajú pochopiť z bezpečia lekárne. <br><br> Liek pre svojho brata však stále nenašiel. Mailo preto hľadá ďalej — medzi príšerami, starými záznamami, chorobami aj zázrakmi. Kým existuje čo i len malá šanca, neprestane. |
Inge-Čarčoredka|Znalec|Inge Čarčoredka||None|None|Gnome|Artificier|Granulia|Hozrir|60|Živá|Hed|Lovec študent - Skupina 740~6|Inge Čarčoredka pochádza z Granulie, mesta plného techo-mágie, vynálezov a gnomských alchymistických nápadov. Práve alchymisti od gnómov ju silno ovplyvnili, no Inge sa nezaujíma len o stroje a bežné elixíry. Fascinuje ju najmä to, ako sa dá mágia preniesť cez tekutiny, tkanivá, žľazy a živé komponenty. <br><br> Pre Inge nie je príšera iba hrozba, ale aj zdroj poznania. Každý lov je pre ňu príležitosť získať čerstvé vzorky, sledovať reakcie v reálnom čase a pochopiť, ako sa magická biológia prejavuje mimo laboratória. Tam, kde iní vidia sliz, krv alebo jed, ona už premýšľa nad elixírom. <br><br> Lov, zber komponentov a okamžitá analýza pre ňu nie sú povinnosťou. Sú výsadou. Inge Čarčoredka je lovkyňa, ktorá do terénu neprichádza len prežiť boj, ale odniesť si z neho niečo, čo môže zmeniť celý výskum. |
